,,,,,Monthly,,,,,,,,Annual,,,,,,,,Rankings,,,,
case_id,State abv.,county_fips,County,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income,num_counties_in_st,st_cost_rank,st_med_aff_rank,st_income_rank
1,AL,1001,Autauga County,1p0c,817,335,1110,510,408,0,624,3803,"$9,804","$4,020","$13,320","$6,120","$4,896",$0,"$7,488","$45,636","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,1p1c,1114,494,1365,756,570,520,761,5580,"$13,368","$5,928","$16,380","$9,072","$6,840","$6,240","$9,132","$66,960","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,1p2c,1114,723,1570,1003,651,1012,949,7021,"$13,368","$8,676","$18,840","$12,036","$7,812","$12,144","$11,388","$84,252","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,1p3c,1416,966,1670,1249,843,1163,1234,8541,"$16,992","$11,592","$20,040","$14,988","$10,116","$13,956","$14,808","$102,492","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,1p4c,1416,1182,1742,1495,920,1163,1474,9392,"$16,992","$14,184","$20,904","$17,940","$11,040","$13,956","$17,688","$112,704","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,2p0c,932,615,1312,1020,548,0,784,5210,"$11,184","$7,380","$15,744","$12,240","$6,576",$0,"$9,408","$62,520","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,2p1c,1114,765,1509,1266,665,520,937,6778,"$13,368","$9,180","$18,108","$15,192","$7,980","$6,240","$11,244","$81,336","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,2p2c,1114,968,1604,1512,737,1012,1012,7960,"$13,368","$11,616","$19,248","$18,144","$8,844","$12,144","$12,144","$95,520","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,2p3c,1416,1183,1671,1759,920,1163,1198,9309,"$16,992","$14,196","$20,052","$21,108","$11,040","$13,956","$14,376","$111,708","  83,790 ",67,8,58,7
1,AL,1001,Autauga County,2p4c,1416,1448,1725,2005,1014,1163,1421,10191,"$16,992","$17,376","$20,700","$24,060","$12,168","$13,956","$17,052","$122,292","  83,790 ",67,8,58,7
2,AL,1003,Baldwin County,1p0c,924,379,1114,480,461,0,666,4025,"$11,088","$4,548","$13,368","$5,760","$5,532",$0,"$7,992","$48,300","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,1p1c,1206,559,1439,712,625,570,832,5942,"$14,472","$6,708","$17,268","$8,544","$7,500","$6,840","$9,984","$71,304","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,1p2c,1206,818,1584,943,716,1126,1061,7454,"$14,472","$9,816","$19,008","$11,316","$8,592","$13,512","$12,732","$89,448","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,1p3c,1534,1092,1682,1175,930,1297,1393,9102,"$18,408","$13,104","$20,184","$14,100","$11,160","$15,564","$16,716","$109,224","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,1p4c,1534,1337,1752,1406,1016,1297,1640,9982,"$18,408","$16,044","$21,024","$16,872","$12,192","$15,564","$19,680","$119,784","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,2p0c,928,695,1385,960,575,0,812,5354,"$11,136","$8,340","$16,620","$11,520","$6,900",$0,"$9,744","$64,248","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,2p1c,1206,865,1523,1191,733,570,998,7086,"$14,472","$10,380","$18,276","$14,292","$8,796","$6,840","$11,976","$85,032","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,2p2c,1206,1095,1616,1423,815,1126,1094,8374,"$14,472","$13,140","$19,392","$17,076","$9,780","$13,512","$13,128","$100,488","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,2p3c,1534,1337,1681,1655,1017,1297,1337,9857,"$18,408","$16,044","$20,172","$19,860","$12,204","$15,564","$16,044","$118,284","  89,953 ",67,4,62,4
2,AL,1003,Baldwin County,2p4c,1534,1637,1733,1886,1123,1297,1575,10784,"$18,408","$19,644","$20,796","$22,632","$13,476","$15,564","$18,900","$129,408","  89,953 ",67,4,62,4
3,AL,1005,Barbour County,1p0c,558,322,1059,470,312,0,514,3235,"$6,696","$3,864","$12,708","$5,640","$3,744",$0,"$6,168","$38,820","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,1p1c,740,475,1289,697,430,395,565,4592,"$8,880","$5,700","$15,468","$8,364","$5,160","$4,740","$6,780","$55,104","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,1p2c,740,695,1425,924,508,761,614,5668,"$8,880","$8,340","$17,100","$11,088","$6,096","$9,132","$7,368","$68,016","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,1p3c,941,928,1526,1152,662,874,775,6857,"$11,292","$11,136","$18,312","$13,824","$7,944","$10,488","$9,300","$82,284","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,1p4c,941,1136,1600,1379,735,874,989,7653,"$11,292","$13,632","$19,200","$16,548","$8,820","$10,488","$11,868","$91,836","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,2p0c,562,591,1235,941,408,0,617,4353,"$6,744","$7,092","$14,820","$11,292","$4,896",$0,"$7,404","$52,236","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,2p1c,740,735,1363,1168,522,395,711,5635,"$8,880","$8,820","$16,356","$14,016","$6,264","$4,740","$8,532","$67,620","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,2p2c,740,931,1456,1395,591,761,743,6617,"$8,880","$11,172","$17,472","$16,740","$7,092","$9,132","$8,916","$79,404","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,2p3c,941,1137,1525,1622,736,874,823,7657,"$11,292","$13,644","$18,300","$19,464","$8,832","$10,488","$9,876","$91,884","  55,672 ",67,63,16,58
3,AL,1005,Barbour County,2p4c,941,1391,1652,1849,826,874,1008,8541,"$11,292","$16,692","$19,824","$22,188","$9,912","$10,488","$12,096","$102,492","  55,672 ",67,63,16,58
4,AL,1007,Bibb County,1p0c,652,306,1175,518,339,0,579,3569,"$7,824","$3,672","$14,100","$6,216","$4,068",$0,"$6,948","$42,828","  70,064 ",67,19,34,25
